#   1      1       2      2      3      3      4     5       5
0  0.0016 0.0187 0.0371 0.0308 -0.1413 -0.2426 -0.2064 -0.1718 0.0067 
5  0.0053 0.0222 0.0393 0.0269 -0.1361 -0.2401 -0.2059 -0.1724 0.0092
10 0.0114 0.0153 0.0340 0.0177 -0.1217 -0.2528 -0.2291 -0.1784 0.0244
20 0.0077 0.0097 0.0282 0.0227 -0.1186 -0.2467 -0.2196 -0.1730 0.0225
