# From Akutsu and Seelig Biochemistry 20, 7366-7373 (1981)
# 
#
#
#
# Absolute values of quadrupolar splittings (kHz) values directly from the Table II in the publication, T=323K 
# [NaCl]    beta   alpha     
0           4.8     5.95    
1050        5.1    5.2     
