# From: https://github.com/NMRLipids/nmrlipids.blogspot.fi/tree/master/HGmodelMANUSCRIPT/DATAforDEHYDRATIONfig

# beta:
4.78843430492 -0.0186549
6.57884498669 -0.0219577
10.1557758446 -0.0258272
13.1374593442 -0.0296902
20.2812057455 -0.0303155
27.228870664 -0.0325804
49.8490483823 -0.0333751

# alpha:
3.70376134082 0.0930616
4.88725314742 0.0881498
6.64653978431 0.0695644
10.0079366314 0.0613933
13.378670692 0.0597886
20.3045487792 0.0467317
27.2444326865 0.0435244
49.8614980003 0.0421304

# g3:
49.8949563485 -0.205195
27.4833097309 -0.211516
20.5496506326 -0.219101
13.6113229275 -0.223403
10.4436732598 -0.228293
6.87530151418 -0.230442
4.91215238332 -0.245195
4.12004544111 -0.246281

# g2:
49.9867722809 -0.184173
27.3673726638 -0.183823
20.4360478688 -0.196871
13.4969420626 -0.202181
10.323845687 -0.20368
6.75547394139 -0.20672
4.97362237196 -0.210562
3.78312765527 -0.210543

# g1:
5   -0.00837642192347  -0.156153050672
10  -0.00837642192347  -0.148000689417
50  -0.00837642192347  -0.129507066529
