# beta:
0	0.031048
7  	0.035111
15	0.030717
34	0.0163342
50	0.0286803
60	0.0580206

0	0.0633539
7	0.052742
15	0.0507082
34	0.046257
50	0.0472884
60	0.0452019

# alpha:
0	0.0915405
7	0.0896631
15	0.106669
34	0.0727365
50	0.0559004
60	0.0382553

0	0.144348
7	0.14593
15	0.125204
34	0.144623
50	0.143924
60	0.155048

# g3R:
0	-0.182288
7	-0.185695
15	-0.175436
34	-0.163721
50	-0.127905
60	-0.103401

# g3S:
0	-0.266575
7	-0.263736
15	-0.259534
34	-0.238409
50	-0.246592
60	-0.217306

# g2:
0	-0.187212
7	-0.197515
15	-0.187536
34	-0.183502
50	-0.13919
60	-0.134853

# g1R:
0	0.171714
7	0.150861
15	0.129866
34	0.125029
50  	0.175028
60	0.232061

# g1S:
0	0.0832471
7	0.0923126
15	0.0736733
34	0.0487024
50	0.0115281
60	0.00348103
