# gamma:
0 	0.00111083
7 	0.00074104 
15 	0.00074104
34 	0.00221876
50 	0.00000000
60 	0.00000000

# beta:
0 	-0.04478707
7 	-0.04149808
15 	-0.04594431
34	-0.03771894
50	-0.03334700
60	-0.03300000
	
# alpha:
0 	0.05589248
7 	0.05187261
15	0.05187261 
34	0.05546903
50	0.04422180
60	0.03620448

# g3:
0 	-0.23134863
7 	-0.22675739
15	-0.22607987 
34	-0.22755865
50	-0.20244603
60	-0.18481794

# g2:
0 	-0.20691616
7 	-0.21490080
15	-0.21515487 
34	-0.21911484
50	-0.23102242
60	-0.22391404

# g1R:
0	-0.14991575
7	-0.15858197
15	-0.15218787
34	-0.15696768
50	-0.16244546
60	-0.15638441

# g1S:
0 	0.00000000
7 	0.00000000
15	0.00000000
34	0.00000000
50	0.00000000
60	0.00000000

