# From Altenbach and Seelig Biochemistry 23, 3913-3920 (1984)
# 
#
#
#

# Absolute values of quadrupolar splittings (kHz) values directly from the Table II in the publication, T=298K 
# [NaCl]    beta   alpha     
100        5.5      5.75
1000       -        5.5
